,name,gender
9003,mohabbat,1
9009,nano,0
9017,susant,1
9025,molu,1
9030,jadu,1
9041,rahis,1
9051,viplo,1
9062,shahzad,1
9073,mehib,1
9082,sayari,0
9120,isthar,1
9122,jubaira,0
9127,sabbu,1
9142,sosan,0
9146,"smt,",0
9169,minka,0
9174,priyaka,0
9177,gulsha,0
9183,banwarilal,1
9184,hasibullah,0
9189,rajkaranta,0
9193,mem,0
9201,faim,1
9218,keshave,1
9228,kosylaya,0
9236,nachita,0
9240,mehvish,0
9248,salmi,0
9263,monu@arun,1
9274,kailashi,0
9278,pavi,0
9285,julekha,0
9287,abishak,1
9294,rini,0
9306,noora,1
9311,tashkkur,0
9316,husno,0
9317,vindeshver,1
9318,gambhir,0
9327,gaitri,0
9329,tohir,1
9337,kaloo,1
9343,upasana,0
9351,sukenta,0
9355,ruji,0
9368,roopsingh,1
9369,aajad,1
9377,dhukhu,1
9382,homa,1
9383,depander,1
9386,chanderbal,1
9394,bhundki,0
9396,abbal,1
9400,darshana,0
9405,yaksh,1
9421,mangat,1
9423,asrani,0
9439,dhananjai,1
9442,rajeshvr,1
9444,amreek,1
9445,warmati,1
9465,prshant,1
9468,vidyadatt,1
9469,najimuddin,1
9472,sandiya,0
9473,partul,1
9484,sayeri,0
9492,mmt.,0
9497,sandna,0
9498,hosiyarilal,1
9503,nawed,1
9504,minakxi,0
9506,nibha,0
9511,nishal,1
9513,sandeepa,0
9520,gajana,0
9541,jaga,1
9554,neesa,0
9556,kadu,0
9558,budhu,1
9560,pritee,0
9563,zahira,0
9568,tavraj,1
9576,patric,1
9578,asagar,1
9582,sanha,0
9583,swetna,0
9588,moolchul,1
9590,phoolla,0
9599,omender,1
9604,prabhatyashi,1
9606,tasbiha,0
9625,jhansi,0
9630,sardeep,1
9640,bannu,1
9646,faiyaaz,1
9650,lukman,1
9655,akshita,0
9663,mamraj,1
9679,nahani,0
9683,sabbab,1
9690,smt.asha,0
9697,dharmendr,1
9708,bhanumati,0
9712,kamta,0
9716,bhajandeep,1
9723,jatan,1
9724,janardam,1
9731,areen,0
9738,rambiri,0
9746,hemanti,0
9748,jafrin,0
9763,pragti,0
9772,dheerendra,1
9774,raisha,0
9776,bhuvneshwar,1
9779,faizur,1
9782,hanish,1
9787,trannum,0
9806,fakir,1
9807,nimmy,0
9824,yamuna,0
9842,surendr,1
9864,mankuri,0
9869,jaykumar,1
9871,maheshar,0
9883,harmani,1
9886,khush,0
9887,himmat,1
9911,lakhya,0
9936,manali,0
9945,su.shree.,0
9946,kasumbi,0
9948,sahajad,1
9956,pawansingh,1
9957,husainpreet,0
9960,suma,0
9966,madanlal,1
9978,yaqub,1
9981,ujjair,1
9983,anuu,0
9997,kooki,0
9999,saiyada,0
10002,amarmula,0
10031,baliram,1
10057,shqakuntla,0
10058,kishana,0
10066,bhartendu,1
10069,dr,1
10078,amiraka,0
10080,mayak,1
10089,wazid,1
10095,janmesh,1
10103,girwer,1
10110,shubhm,1
10112,resmi,0
10114,babby,0
10127,sohal,1
10130,kadir,1
10136,julfikaar,1
10139,faizudeen,1
10143,farhanaz,0
10145,jantarpal,1
10149,chhanya,0
10151,kunda,1
10152,albaksha,1
10171,nicharon,0
10182,barham,1
10187,meetu,0
10199,kirshanpal,1
10201,anaro,0
10223,shagufta@munny,0
10229,sam,1
10236,asi,1
10239,suchi,0
10251,mangelal,1
10258,dixya,0
10280,shailender,1
10305,parteek,1
10307,zainab,0
10308,bahwana,0
